Date,rate
2026-07-15,4.6764
2026-07-16,4.676
2026-07-17,4.706
2026-07-20,4.6966
2026-07-21,4.6756
2026-07-22,4.674
2026-07-23,4.6572
2026-07-24,4.6538
2026-07-27,4.6426
2026-07-28,4.6409
2026-07-29,4.6347
2026-07-30,4.612
2026-07-31,4.6429
2026-08-03,4.6141
2026-08-04,4.6244
2026-08-05,4.608
2026-08-06,4.6049
2026-08-07,4.6005
2026-08-10,4.6063
2026-08-11,4.5956
2026-08-12,4.5892
2026-08-13,4.5963
2026-08-14,4.5849
2026-08-17,4.5903
2026-08-18,4.5973
2026-08-19,4.6007
2026-08-20,4.625
2026-08-21,4.608
2026-08-24,4.6092
2026-08-25,4.596
2026-08-26,4.5862
2026-08-27,4.6105
2026-08-28,4.6271
2026-08-31,4.6134
2026-09-01,4.613
2026-09-02,4.5929
